"","NUNID.2","NUNID.1","NUNIDS.2","AGB.2","AGB.1","BALIVE.2","BALIVE.1","CUT","FIRE_ALL","INSDIS","G_FIRE","C_FIRE","LAT.2","LON.2","REMPER.2","MEASYEAR.2","MEASYEAR.1","STDAGE.2","STDAGE.1","STDORGCD.1","STDORGCD.2","FORTYPCD.1","FORTYPCD.2","ECOSUBCD.1","DISTURB","rep_std","since_fire","severity","sev_mean","fire_id_mtbs","id_1","fire_yr","fire_mn","fire_day","INVYR.x","STATECD.x","UNITCD.x","COUNTYCD.x","PLOT.x","MEASMON","MEASDAY","pplotid.x","INVYR.y","STATECD.y","UNITCD.y","COUNTYCD.y","PLOT.y","FLDSZCD.x","CONDPROP_UNADJ.x","STDAGE.x","FLDAGE.x","pplotid.y","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","FLDSZCD.y","CONDPROP_UNADJ.y","STDAGE.y","FLDAGE.y","pplotid","date","date_ym","diff_yr","diff_mn","diff_dy","diff_days","diff_months","diff_years","seed_count.1","sd_spp_rich.1","seed_count_con.1","sd_spp_rich_con.1","seed_count.2","sd_spp_rich.2","seed_count_con.2","sd_spp_rich_con.2","seed_ct_ch","sdsp_rh_ch","seed_ct_ch_con","sdsp_rh_ch_con"
"136","12-3-17-58-2012","12-3-17-58-2006","12-3-17-58",76048.9892916643,40148.7070575817,92.7197,76.8437,0,1,0,1,0,28.751705,-82.432106,6.7,2012,2005,34,18,1,1,141,141," 232Kb",1,0,1,0,1,"FL2875008244320110815","FL28750082443","2011","08","15",2006,12,3,17,58,12,14,"12-3-17-58",2006,12,3,17,58,2,1,18,18,"12-3-17-58",2012,12,3,17,58,2,1,34,34,"12-3-17-58","2012-12-14","2012-12",1,4,-1,486,15.98,1.33,1111.35696,2,0,0,4260.20168,5,0,0,3148.84472,3,0,0
"137","12-3-27-49-2012","12-3-27-49-2006","12-3-27-49",51065.2513241608,52503.0111092822,216.8173,151.6177,0,0,0,0,0,27.133032,-81.766821,6,2011,2005,73,66,0,0,983,983," 232Da",0,0,3,0,1,"FL2720108202820080210","FL27201082028","2008","02","10",2006,12,3,27,49,11,9,"12-3-27-49",2006,12,3,27,49,NA,0.25,NA,NA,"12-3-27-49",2012,12,3,27,49,NA,0.25,NA,NA,"12-3-27-49","2011-11-9","2011-11",3,9,-1,1368,44.99,3.75,5001.10632,3,0,0,6853.36792,4,0,0,1852.2616,1,0,0
"138","12-3-53-59-2013","12-3-53-59-2007","12-3-53-59",2520.24057769702,14049.0976181068,7.5008,24.2351,1,1,0,1,0,28.566836,-82.594279,6.2,2014,2007,5,45,0,0,514,514," 232Db",1,1,1,1,3,"FL2857008259320130329","FL28570082593","2013","03","29",2007,12,3,53,59,11,28,"12-3-53-59",2007,12,3,53,59,2,0.1538,45,45,"12-3-53-59",2013,12,3,53,59,2,0.1538,52,52,"12-3-53-59","2014-11-28","2014-11",1,8,-1,607,19.96,1.66,185.22616,1,0,0,2963.61856,4,185.22616,1,2778.3924,3,185.22616,1
"139","12-3-55-117-2013","12-3-55-117-2007","12-3-55-117",52257.2740657103,36773.7028561643,75.1191,60.8586,0,1,0,1,0,27.598527,-81.282806,5.8,2013,2008,35,30,0,0,141,141," 232Gc",1,0,4,0,2,"FL2759408127320090603","FL27594081273","2009","06","03",2007,12,3,55,117,1,8,"12-3-55-117",2007,12,3,55,117,2,1,30,30,"12-3-55-117",2013,12,3,55,117,2,1,35,35,"12-3-55-117","2013-1-8","2013-1",4,-5,5,1313,43.18,3.6,185.22616,1,185.22616,1,4074.97552,2,185.22616,1,3889.74936,1,0,0
"140","12-3-57-86-2012","12-3-57-86-2006","12-3-57-86",5154.83947771813,3965.95997489118,12.8697,11.1596,0,1,0,1,0,27.801726,-82.370272,6.1,2012,2005,15,7,0,0,514,608," 232Db",1,0,6,0,2,"FL2781108236220060508","FL27811082362","2006","05","08",2006,12,3,57,86,12,29,"12-3-57-86",2006,12,3,57,86,1,1,7,7,"12-3-57-86",2012,12,3,57,86,2,1,15,15,"12-3-57-86","2012-12-29","2012-12",6,7,21,2424,79.71,6.64,1111.35696,2,0,0,1667.03544,3,0,0,555.67848,1,0,0
"141","12-3-69-14-2016","12-3-69-14-2011","12-3-69-14",106514.064253395,122594.60542574,105.7366,106.8132,0,0,0,0,0,28.884645,-81.416337,6.5,2017,2010,5,65,0,0,161,409," 232Kb",1,1,6,0,1,"FL2887908140120110128","FL28879081401","2011","01","28",2011,12,3,69,14,10,6,"12-3-69-14",2011,12,3,69,14,3,0.25,55,55,"12-3-69-14",2016,12,3,69,14,3,0.25,60,60,"12-3-69-14","2017-10-6","2017-10",6,9,-22,2442,80.3,6.69,370.45232,1,0,0,185.22616,1,0,0,-185.22616,0,0,0
"142","12-3-69-291-2016","12-3-69-291-2011","12-3-69-291",64600.9111079897,79338.0103574081,94.1911,112.2779,0,1,0,1,0,29.026598,-81.41296,6.3,2017,2010,51,45,0,0,608,608," 232Kb",1,0,2,0,2,"FL2902508141820150213","FL29025081418","2015","02","13",2011,12,3,69,291,11,30,"12-3-69-291",2011,12,3,69,291,2,1,45,45,"12-3-69-291",2016,12,3,69,291,2,1,51,51,"12-3-69-291","2017-11-30","2017-11",2,9,17,1021,33.57,2.8,2593.16624,1,0,0,3704.5232,1,0,0,1111.35696,0,0,0
"143","12-3-69-296-2016","12-3-69-296-2011","12-3-69-296",64487.6391630365,66223.242723009,74.6304,88.6207,0,0,0,0,0,29.098409,-81.530696,7,2017,2010,72,65,0,0,166,166," 232Kb",0,0,3,0,2,"FL2910508152820140108","FL29105081528","2014","01","08",2011,12,3,69,296,12,1,"12-3-69-296",2011,12,3,69,296,2,1,65,65,"12-3-69-296",2016,12,3,69,296,2,1,72,72,"12-3-69-296","2017-12-1","2017-12",3,11,-7,1423,46.79,3.9,2222.71392,1,0,0,3704.5232,1,0,0,1481.80928,0,0,0
"144","12-3-9-148-2013","12-3-9-148-2007","12-3-9-148",11590.8173016922,11840.3565666464,44.3359,42.9802,0,1,0,0,0,28.675017,-80.725669,4.9,2013,2008,40,35,0,0,514,983," 232Gb",1,0,4,0,2,"FL2866308071920090305","FL28663080719","2009","03","05",2007,12,3,9,148,3,31,"12-3-9-148",2007,12,3,9,148,2,1,35,35,"12-3-9-148",2013,12,3,9,148,2,1,40,40,"12-3-9-148","2013-3-31","2013-3",4,0,26,1486,48.87,4.07,2963.61856,1,0,0,2593.16624,1,0,0,-370.45232,0,0,0
"145","12-3-9-164-2013","12-3-9-164-2007","12-3-9-164",0,40815.5581501751,0,77.1255,1,1,0,0,0,28.756292,-80.944128,4.8,2013,2008,0,20,1,0,141,999," 232Ga",1,1,2,0,2,"FL2874208096620110228","FL28742080966","2011","02","28",2007,12,3,9,164,3,5,"12-3-9-164",2007,12,3,9,164,2,0.1721,20,20,"12-3-9-164",2013,12,3,9,164,NA,0.2321,NA,NA,"12-3-9-164","2013-3-5","2013-3",2,1,-23,737,24.24,2.02,0,0,0,0,0,0,0,0,0,0,0,0
"146","12-3-9-173-2010","12-3-9-173-2003","12-3-9-173",25273.774574069,12974.5822595829,70.6065,20.8293,0,0,0,0,0,28.673068,-80.952114,6.1,2010,2004,14,8,0,0,407,142," 232Ga",0,0,2,0,1,"FL2868308093820080403","FL28683080938","2008","04","03",2003,12,3,9,173,3,30,"12-3-9-173",2003,12,3,9,173,1,1,8,8,"12-3-9-173",2010,12,3,9,173,2,1,14,14,"12-3-9-173","2010-3-30","2010-3",2,-1,27,727,23.91,1.99,2222.71392,3,1296.58312,1,740.90464,2,555.67848,1,-1481.80928,-1,-740.90464,0
"147","12-3-93-93-2013","12-3-93-93-2007","12-3-93-93",10540.4855651534,8755.39858211707,28.2591,25.6468,0,1,0,0,0,27.608495,-81.137624,5.5,2013,2008,45,40,0,0,983,983," 232Gd",1,0,3,0,2,"FL2759508112720100406","FL27595081127","2010","04","06",2007,12,3,93,93,3,20,"12-3-93-93",2007,12,3,93,93,3,1,40,40,"12-3-93-93",2013,12,3,93,93,3,1,45,45,"12-3-93-93","2013-3-20","2013-3",3,-1,14,1079,35.48,2.96,0,0,0,0,0,0,0,0,0,0,0,0
"148","12-3-97-123-2012","12-3-97-123-2006","12-3-97-123",54785.7714206813,57330.1336171825,132.4465,136.8492,0,0,0,0,0,27.959507,-81.143335,6.4,2012,2005,61,56,0,0,609,609," 232Gd",0,0,2,0,2,"FL2796008114120110316","FL27960081141","2011","03","16",2006,12,3,97,123,8,16,"12-3-97-123",2006,12,3,97,123,2,0.5,56,56,"12-3-97-123",2012,12,3,97,123,2,0.5,61,61,"12-3-97-123","2012-8-16","2012-8",1,5,0,517,17,1.42,0,0,0,0,0,0,0,0,0,0,0,0
"149","12-4-15-26-2011","12-4-15-26-2004","12-4-15-26",3932.26053614555,9772.37533916495,8.8356,21.2322,0,1,0,1,0,26.840036,-81.886267,6.6,2011,2004,0,40,0,0,142,999," 232Da",1,1,1,0,2,"FL2688808186220060308","FL26888081862","2006","03","08",2004,12,4,15,26,12,16,"12-4-15-26",2004,12,4,15,26,NA,0.3063,NA,NA,"12-4-15-26",2011,12,4,15,26,NA,0.3063,NA,NA,"12-4-15-26","2011-12-16","2011-12",5,9,8,2107,69.29,5.77,0,0,0,0,0,0,0,0,0,0,0,0
"150","12-4-15-43-2011","12-4-15-43-2004","12-4-15-43",39092.3587610089,35484.1617391862,47.5401,46.2587,0,1,0,1,0,26.943382,-81.872814,6.3,2011,2004,42,35,0,0,142,142," 232Da",1,0,3,0,2,"FL2692208185220090216","FL26922081852","2009","02","16",2004,12,4,15,43,12,15,"12-4-15-43",2004,12,4,15,43,3,1,35,35,"12-4-15-43",2011,12,4,15,43,3,1,42,42,"12-4-15-43","2011-12-15","2011-12",2,10,-1,1033,33.97,2.83,0,0,0,0,0,0,0,0,0,0,0,0
"151","12-4-15-63-2012","12-4-15-63-2006","12-4-15-63",18159.0650392284,13421.6769030295,25.3607,21.1388,0,1,0,1,0,26.883636,-81.872415,5.9,2011,2006,36,31,0,0,142,142," 232Da",1,0,4,0,2,"FL2688708185420070117","FL26887081854","2007","01","17",2006,12,4,15,63,1,9,"12-4-15-63",2006,12,4,15,63,2,1,31,31,"12-4-15-63",2012,12,4,15,63,2,1,36,36,"12-4-15-63","2011-1-9","2011-1",4,0,-8,1452,47.75,3.98,0,0,0,0,0,0,0,0,0,0,0,0
"152","12-4-15-65-2017","12-4-15-65-2012","12-4-15-65",20422.3581649776,21872.8491599551,32.8871,32.4646,0,1,0,1,0,26.878383,-81.705752,6.3,2018,2012,69,63,0,0,142,142," 232Da",1,0,1,1,3,"FL2687008164220170221","FL26870081642","2017","02","21",2012,12,4,15,65,5,21,"12-4-15-65",2012,12,4,15,65,2,1,63,63,"12-4-15-65",2017,12,4,15,65,3,1,69,69,"12-4-15-65","2018-5-21","2018-5",1,3,0,456,15,1.25,0,0,0,0,0,0,0,0,0,0,0,0
"153","12-4-15-80-2013","12-4-15-80-2007","12-4-15-80",4744.03538094429,4167.04606122828,8.158,6.7477,0,1,0,1,0,26.829983,-81.827928,5.5,2013,2008,0,0,0,0,999,999," 232Da",1,1,2,0,2,"FL2683608183320110217","FL26836081833","2011","02","17",2007,12,4,15,80,3,19,"12-4-15-80",2007,12,4,15,80,2,1,0,30,"12-4-15-80",2013,12,4,15,80,2,1,0,37,"12-4-15-80","2013-3-19","2013-3",2,1,2,762,25.06,2.09,0,0,0,0,0,0,0,0,0,0,0,0
"154","12-4-15-9-2011","12-4-15-9-2004","12-4-15-9",12898.9117785737,8927.3999275618,23.3002,17.5384,0,1,0,1,0,26.869891,-81.759364,6.6,2011,2004,32,25,0,0,142,142," 232Da",1,0,5,0,2,"FL2688808186220060308","FL26888081862","2006","03","08",2004,12,4,15,9,12,16,"12-4-15-9",2004,12,4,15,9,2,1,25,25,"12-4-15-9",2011,12,4,15,9,2,1,32,32,"12-4-15-9","2011-12-16","2011-12",5,9,8,2107,69.29,5.77,0,0,0,0,0,0,0,0,0,0,0,0
"155","12-4-15-97-2014","12-4-15-97-2009","12-4-15-97",25335.6250586674,24291.6884501227,33.6194,37.5355,0,0,0,0,0,26.85702,-81.659095,5,2014,2009,35,30,0,0,142,142," 232Da",0,0,3,0,2,"FL2687408163520110223","FL26874081635","2011","02","23",2009,12,4,15,97,7,20,"12-4-15-97",2009,12,4,15,97,3,1,30,30,"12-4-15-97",2014,12,4,15,97,3,1,35,35,"12-4-15-97","2014-7-20","2014-7",3,5,-3,1244,40.91,3.41,0,0,0,0,0,0,0,0,0,0,0,0
"156","12-4-21-109-2011","12-4-21-109-2004","12-4-21-109",173378.316219872,178577.18040264,262.0428,269.3442,0,0,0,0,0,26.23614,-81.277152,6.2,2011,2005,55,50,0,0,609,609," 411Af",0,0,4,0,1,"FL2602008107320070507","FL26020081073","2007","05","07",2004,12,4,21,109,2,8,"12-4-21-109",2004,12,4,21,109,3,1,50,50,"12-4-21-109",2011,12,4,21,109,3,1,55,55,"12-4-21-109","2011-2-8","2011-2",4,-3,1,1370,45.05,3.75,1296.58312,4,185.22616,1,185.22616,1,0,0,-1111.35696,-3,-185.22616,-1
"157","12-4-21-261-2012","12-4-21-261-2006","12-4-21-261",22278.414211672,16069.13810706,89.5244,100.6183,0,1,0,1,0,26.172219,-80.972344,6.1,2012,2006,46,40,0,0,983,983," 411Af",1,0,5,0,2,"FL2602008107320070507","FL26020081073","2007","05","07",2006,12,4,21,261,3,1,"12-4-21-261",2006,12,4,21,261,1,0.4752,0,30,"12-4-21-261",2012,12,4,21,261,2,0.25,36,36,"12-4-21-261","2012-3-1","2012-3",5,-2,-6,1758,57.81,4.82,1296.58312,1,0,0,2407.94008,3,0,0,1111.35696,2,0,0
"158","12-4-43-113-2014","12-4-43-113-2009","12-4-43-113",93721.1444614515,78000.4611318688,127.772,129.766,0,0,0,0,0,27.010809,-81.18453,5.2,2014,2009,80,75,0,0,520,520," 232Da",1,0,3,0,1,"FL2699708117020110218","FL26997081170","2011","02","18",2009,12,4,43,113,6,30,"12-4-43-113",2009,12,4,43,113,3,1,75,75,"12-4-43-113",2014,12,4,43,113,3,1,80,80,"12-4-43-113","2014-6-30","2014-6",3,4,12,1229,40.41,3.37,7223.82024,4,0,0,2778.3924,3,0,0,-4445.42784,-1,0,0
"159","12-4-43-120-2010","12-4-43-120-2003","12-4-43-120",32291.8282215178,24489.0227585988,36.4279,30.3114,0,1,0,1,0,26.973952,-81.432505,6.6,2010,2003,57,50,0,0,514,520," 232Da",1,0,4,0,1,"FL2698008142420060308","FL26980081424","2006","03","08",2003,12,4,43,120,10,28,"12-4-43-120",2003,12,4,43,120,2,1,50,50,"12-4-43-120",2010,12,4,43,120,2,1,57,57,"12-4-43-120","2010-10-28","2010-10",4,7,20,1693,55.67,4.64,0,0,0,0,0,0,0,0,0,0,0,0
"160","12-4-43-90-2013","12-4-43-90-2007","12-4-43-90",41142.9253799538,29091.2983719373,78.9149,62.0407,0,0,0,0,0,26.969002,-81.231918,5.8,2013,2008,35,30,0,0,607,607," 232Da",0,0,3,0,1,"FL2698008125220100119","FL26980081252","2010","01","19",2007,12,4,43,90,3,5,"12-4-43-90",2007,12,4,43,90,3,0.334,40,40,"12-4-43-90",2013,12,4,43,90,3,0.334,45,45,"12-4-43-90","2013-3-5","2013-3",3,2,-14,1142,37.55,3.13,555.67848,2,185.22616,1,185.22616,1,0,0,-370.45232,-1,-185.22616,-1
"161","12-4-51-91-2012","12-4-51-91-2006","12-4-51-91",786.477040928194,1153.01341521822,6.5991,3.3118,0,1,0,1,0,26.33571,-81.212764,6.2,2012,2006,11,5,0,0,704,704," 411Af",1,0,3,0,1,"FL2654408127820090126","FL26544081278","2009","01","26",2006,12,4,51,91,1,18,"12-4-51-91",2006,12,4,51,91,1,1,5,5,"12-4-51-91",2012,12,4,51,91,1,1,11,11,"12-4-51-91","2012-1-18","2012-1",3,0,-8,1087,35.74,2.98,8705.62952,1,0,0,3704.5232,2,0,0,-5001.10632,1,0,0
"162","12-4-71-121-2013","12-4-71-121-2007","12-4-71-121",16229.0713018816,22772.3321574633,37.0884,56.0541,1,1,0,1,0,26.757325,-81.880825,5.6,2013,2008,40,27,0,0,142,142," 232Da",1,0,4,0,2,"FL2673108187920090329","FL26731081879","2009","03","29",2007,12,4,71,121,4,15,"12-4-71-121",2007,12,4,71,121,NA,0.25,NA,NA,"12-4-71-121",2013,12,4,71,121,NA,0.25,NA,NA,"12-4-71-121","2013-4-15","2013-4",4,1,-14,1476,48.54,4.04,4630.654,2,185.22616,1,2778.3924,2,1481.80928,1,-1852.2616,0,1296.58312,0
"163","12-4-85-71-2013","12-4-85-71-2007","12-4-85-71",65237.0796289913,70356.0163679901,124.082,132.2137,0,1,0,1,0,27.125877,-80.598398,5.4,2013,2008,50,60,0,0,407,407," 232Ga",1,0,2,0,2,"FL2709208059520110418","FL27092080595","2011","04","18",2007,12,4,85,71,4,2,"12-4-85-71",2007,12,4,85,71,3,1,60,60,"12-4-85-71",2013,12,4,85,71,3,1,50,50,"12-4-85-71","2013-4-2","2013-4",2,0,-16,714,23.48,1.96,7779.49872,3,185.22616,1,7779.49872,1,0,0,0,-2,-185.22616,-1
"164","13-1-299-235-2018","13-1-299-235-2013","13-1-299-235",653.780513455096,375.985650518882,1.3444,0.9571,0,1,0,0,0,30.593205,-82.303269,5.9,2019,2013,11,6,0,0,608,608," 232Cd",1,0,2,0,2,"GA3057408232320170406","GA30574082323","2017","04","06",2013,13,1,299,235,5,1,"13-1-299-235",2013,13,1,299,235,1,1,6,6,"13-1-299-235",2018,13,1,299,235,1,1,11,11,"13-1-299-235","2019-5-1","2019-5",2,1,-5,755,24.83,2.07,4260.20168,2,0,0,1481.80928,2,0,0,-2778.3924,0,0,0
"165","13-1-49-207-2018","13-1-49-207-2013","13-1-49-207",105026.920914444,106806.340034725,114.4938,133.7573,0,1,0,0,0,30.588479,-82.203805,5.8,2019,2013,36,30,0,0,407,142," 232Ca",1,0,2,0,2,"GA3057408232320170406","GA30574082323","2017","04","06",2013,13,1,49,207,4,29,"13-1-49-207",2013,13,1,49,207,3,1,30,30,"13-1-49-207",2018,13,1,49,207,3,1,36,36,"13-1-49-207","2019-4-29","2019-4",2,0,23,753,24.76,2.06,6112.46328,4,1296.58312,1,2963.61856,6,1111.35696,2,-3148.84472,2,-185.22616,1
"166","13-2-253-10-1999","13-2-253-10-1997","13-2-253-10",83737.8112379046,68796.2822338165,68.9475,62.4681,0,0,0,0,0,30.938139,-84.873246,4.8,2000,1995,68,63,0,0,403,403," 232Bi",0,0,2,0,2,"GA3086608481820000328","GA30866084818","2000","03","28",1997,13,2,253,10,8,1,"13-2-253-10",1997,13,2,253,10,3,1,63,63,"13-2-253-10",1999,13,2,253,10,3,1,68,68,"13-2-253-10","2000-8-1","2000-8",0,5,-27,125,4.11,0.34,0,0,0,0,0,0,0,0,0,0,0,0
"167","13-3-169-82-2017","13-3-169-82-2012","13-3-169-82",58694.5252571507,36720.1746805919,74.2806,54.6315,0,1,0,1,0,33.173346,-83.504822,5.6,2017,2012,38,33,0,0,161,161," 231Aa",1,0,2,0,2,"GA3317008350020160229","GA33170083500","2016","02","29",2012,13,3,169,82,4,26,"13-3-169-82",2012,13,3,169,82,1,0.25,5,5,"13-3-169-82",2017,13,3,169,82,2,0.25,15,15,"13-3-169-82","2017-4-26","2017-4",1,2,-3,423,13.91,1.16,2963.61856,7,0,0,5742.01096,9,0,0,2778.3924,2,0,0
"168","13-3-169-84-2018","13-3-169-84-2013","13-3-169-84",70843.5868190716,65911.5138476327,52.5373,47.2728,0,1,1,1,0,33.151071,-83.603068,6,2018,2013,85,79,0,0,161,161," 231Aa",1,0,2,0,2,"GA3315008360020160213","GA33150083600","2016","02","13",2013,13,3,169,84,1,2,"13-3-169-84",2013,13,3,169,84,NA,0.0633,NA,NA,"13-3-169-84",2018,13,3,169,84,NA,0.05531,NA,NA,"13-3-169-84","2018-1-2","2018-1",2,-1,-11,689,22.66,1.89,740.90464,3,185.22616,1,18893.06832,4,9261.308,1,18152.16368,1,9076.08184,0
"169","13-3-237-86-2017","13-3-237-86-2012","13-3-237-86",117268.177088134,128445.534204786,107.6901,133.6126,1,1,0,1,0,33.239381,-83.474601,5.5,2018,2012,44,38,0,0,161,161," 231Aa",1,0,2,0,1,"GA3324008349020160208","GA33240083490","2016","02","08",2012,13,3,237,86,8,30,"13-3-237-86",2012,13,3,237,86,2,0.25,30,30,"13-3-237-86",2017,13,3,237,86,2,0.25,36,36,"13-3-237-86","2018-8-30","2018-8",2,6,22,934,30.71,2.56,6482.9156,10,370.45232,1,3704.5232,6,370.45232,2,-2778.3924,-4,0,1
"170","13-3-237-92-2016","13-3-237-92-2011","13-3-237-92",83030.7762989615,84840.675382765,48.0078,58.4859,0,1,0,1,0,33.350803,-83.466216,5.6,2016,2011,41,36,0,0,404,404," 231Aa",1,0,1,0,2,"GA3336408346420140327","GA33364083464","2014","03","27",2011,13,3,237,92,1,19,"13-3-237-92",2011,13,3,237,92,3,0.25,70,70,"13-3-237-92",2016,13,3,237,92,3,0.25,75,75,"13-3-237-92","2016-1-19","2016-1",2,-2,-8,661,21.74,1.81,5186.33248,5,0,0,5742.01096,9,370.45232,1,555.67848,4,370.45232,1
"171","13-4-221-93-2016","13-4-221-93-2011","13-4-221-93",152427.566403963,138025.784733786,99.0434,90.134,0,0,0,0,0,33.76916,-83.277739,5.2,2016,2011,66,61,0,0,406,406," 231Aa",0,0,1,0,1,"GA3373108327920150121","GA33731083279","2015","01","21",2011,13,4,221,93,7,12,"13-4-221-93",2011,13,4,221,93,3,0.5,61,61,"13-4-221-93",2016,13,4,221,93,3,0.5,66,66,"13-4-221-93","2016-7-12","2016-7",1,6,-9,538,17.69,1.47,1667.03544,6,0,0,926.1308,4,0,0,-740.90464,-2,0,0
"172","13-5-111-100-2018","13-5-111-100-2013","13-5-111-100",103715.754068105,104723.744852763,122.5785,132.3816,0,1,1,1,0,34.906434,-84.561673,5.5,2019,2013,76,70,0,0,515,515,"M221Dd",1,0,3,0,2,"GA3489708456420161016","GA34897084564","2016","10","16",2013,13,5,111,100,11,12,"13-5-111-100",2013,13,5,111,100,3,1,70,70,"13-5-111-100",2018,13,5,111,100,3,1,76,76,"13-5-111-100","2019-11-12","2019-11",3,1,-4,1121,36.86,3.07,555.67848,2,370.45232,1,1481.80928,5,0,0,926.1308,3,-370.45232,-1
"173","13-5-111-103-2018","13-5-111-103-2013","13-5-111-103",188287.793591562,159902.393765102,150.6989,137.797,0,1,1,1,0,34.883966,-84.61573,5.4,2019,2013,84,81,0,0,401,401,"M221Dd",1,0,3,0,1,"GA3489708456420161016","GA34897084564","2016","10","16",2013,13,5,111,103,12,31,"13-5-111-103",2013,13,5,111,103,3,1,81,81,"13-5-111-103",2018,13,5,111,103,3,1,84,84,"13-5-111-103","2019-12-31","2019-12",3,2,15,1171,38.51,3.21,10002.21264,3,9261.308,1,5927.23712,6,185.22616,1,-4074.97552,3,-9076.08184,0
"174","13-5-111-70-2017","13-5-111-70-2012","13-5-111-70",88725.5730585851,73426.5758292134,70.6724,62.5461,0,0,1,0,0,34.810563,-84.186988,6,2018,2012,85,79,0,0,504,504,"M221Dc",1,0,5,0,2,"GA3481008417220130407","GA34810084172","2013","04","07",2012,13,5,111,70,2,13,"13-5-111-70",2012,13,5,111,70,3,1,79,79,"13-5-111-70",2017,13,5,111,70,3,1,85,85,"13-5-111-70","2018-2-13","2018-2",5,-2,6,1770,58.2,4.85,1111.35696,3,740.90464,1,555.67848,3,185.22616,1,-555.67848,0,-555.67848,0
"175","13-5-111-81-2016","13-5-111-81-2011","13-5-111-81",331737.448230741,300609.627819572,264.5092,244.7646,0,0,0,0,0,34.802352,-84.218379,6.1,2017,2011,88,83,0,0,506,506,"M221Dc",0,0,3,0,2,"GA3480408419220140223","GA34804084192","2014","02","23",2011,13,5,111,81,3,22,"13-5-111-81",2011,13,5,111,81,2,0.1669,20,20,"13-5-111-81",2016,13,5,111,81,2,0.166908,25,25,"13-5-111-81","2017-3-22","2017-3",3,1,-1,1124,36.96,3.08,3889.74936,2,185.22616,1,6112.46328,5,185.22616,1,2222.71392,3,0,0
"176","13-5-111-95-2018","13-5-111-95-2013","13-5-111-95",204038.253460753,211637.52756441,149.419,166.1696,0,1,1,1,0,34.954409,-84.581543,5.5,2019,2013,85,79,0,0,401,401,"M221Dd",1,0,3,0,1,"GA3489708456420161016","GA34897084564","2016","10","16",2013,13,5,111,95,12,3,"13-5-111-95",2013,13,5,111,95,3,1,79,79,"13-5-111-95",2018,13,5,111,95,3,1,85,85,"13-5-111-95","2019-12-3","2019-12",3,2,-13,1143,37.59,3.13,1481.80928,2,1296.58312,1,23153.27,7,1296.58312,2,21671.46072,5,0,1
"177","13-5-111-97-2017","13-5-111-97-2012","13-5-111-97",90849.5562991161,117091.222433638,94.5824,119.7192,0,1,1,1,0,34.949511,-84.599959,5.9,2018,2012,73,67,0,0,163,404,"M221Dd",1,0,2,0,2,"GA3489708456420161016","GA34897084564","2016","10","16",2012,13,5,111,97,3,28,"13-5-111-97",2012,13,5,111,97,3,1,67,67,"13-5-111-97",2017,13,5,111,97,3,1,73,73,"13-5-111-97","2018-3-28","2018-3",2,-7,12,529,17.4,1.45,555.67848,2,555.67848,2,24264.62696,2,22041.91304,1,23708.94848,0,21486.23456,-1
"178","13-5-111-98-2017","13-5-111-98-2012","13-5-111-98",228360.849731262,236132.607388207,183.5784,197.9019,0,1,0,1,0,34.901586,-84.60026,6,2018,2012,78,72,0,0,502,502,"M221Dd",1,0,2,0,2,"GA3489708456420161016","GA34897084564","2016","10","16",2012,13,5,111,98,10,17,"13-5-111-98",2012,13,5,111,98,3,1,72,72,"13-5-111-98",2017,13,5,111,98,3,1,78,78,"13-5-111-98","2018-10-17","2018-10",2,0,1,731,24.04,2,9076.08184,7,926.1308,1,6112.46328,5,555.67848,1,-2963.61856,-2,-370.45232,0
"179","13-5-137-38-2016","13-5-137-38-2011","13-5-137-38",124857.20616225,116042.102620815,112.7759,103.4923,0,0,0,0,0,34.680668,-83.387345,6.4,2017,2011,91,85,0,0,515,515," 231Ab",0,0,4,0,1,"GA3469608338820130327","GA34696083388","2013","03","27",2011,13,5,137,38,3,1,"13-5-137-38",2011,13,5,137,38,2,0.25,26,26,"13-5-137-38",2016,13,5,137,38,3,0.25,32,32,"13-5-137-38","2017-3-1","2017-3",4,0,-26,1434,47.16,3.93,1111.35696,4,0,0,555.67848,3,0,0,-555.67848,-1,0,0
"180","13-5-213-74-2016","13-5-213-74-2011","13-5-213-74",185256.291154346,155151.467149507,123.0124,115.2331,0,1,0,1,0,34.972717,-84.623569,5.5,2017,2011,60,54,0,0,504,504,"M221Dd",1,0,1,0,1,"GA3489708456420161016","GA34897084564","2016","10","16",2011,13,5,213,74,7,28,"13-5-213-74",2011,13,5,213,74,3,1,54,54,"13-5-213-74",2016,13,5,213,74,3,1,60,60,"13-5-213-74","2017-7-28","2017-7",1,-3,12,286,9.4,0.78,6668.14176,10,370.45232,1,6297.68944,9,185.22616,1,-370.45232,-1,-185.22616,0
"181","13-5-213-75-2016","13-5-213-75-2011","13-5-213-75",168850.827320091,228995.187665463,121.8721,161.0252,0,1,1,0,0,34.929973,-84.627538,6.1,2017,2011,68,62,0,0,405,510,"M221Dd",1,0,1,0,2,"GA3489708456420161016","GA34897084564","2016","10","16",2011,13,5,213,75,8,23,"13-5-213-75",2011,13,5,213,75,3,1,62,62,"13-5-213-75",2016,13,5,213,75,3,1,68,68,"13-5-213-75","2017-8-23","2017-8",1,-2,7,311,10.23,0.85,18337.38984,5,17411.25904,2,3704.5232,4,185.22616,1,-14632.86664,-1,-17226.03288,-1
